lon	lat	2011-2040_PRCPTOT JJA (mm)_RCP45	2011-2040_PRCPTOT JJA (mm)_RCP85	2011-2040_TX30 (days)_RCP45	2011-2040_TX30 (days)_RCP85	2011-2040_PR95PERC (%)_RCP45	2011-2040_PR95PERC (%)_RCP85	2041-2070_PRCPTOT JJA (mm)_RCP45	2041-2070_PRCPTOT JJA (mm)_RCP85	2041-2070_TX30 (days)_RCP45	2041-2070_TX30 (days)_RCP85	2041-2070_PR95PERC (%)_RCP45	2041-2070_PR95PERC (%)_RCP85	2071-2100_PRCPTOT JJA (mm)_RCP45	2071-2100_PRCPTOT JJA (mm)_RCP85	2071-2100_TX30 (days)_RCP45	2071-2100_TX30 (days)_RCP85	2071-2100_PR95PERC (%)_RCP45	2071-2100_PR95PERC (%)_RCP85
11,0275	45,5625	-62	-40	1	1	0	8	-131	-124	6	11	14	10	-125	-190	10	37	11	29
11,1293	45,5615	-42	-26	1	1	1	8	-119	-111	7	12	13	13	-109	-179	11	38	17	32
11,2311	45,5604	-45	-27	3	2	2	9	-119	-114	13	19	12	15	-100	-173	19	49	20	31
11,3329	45,5592	-59	-44	6	6	0	10	-127	-123	24	31	14	17	-104	-181	30	62	17	30
11,4347	45,5578	-40	-29	10	8	3	10	-102	-96	31	37	17	21	-78	-144	35	67	19	33
11,5365	45,5564	-39	-26	11	10	4	12	-95	-88	34	39	16	22	-76	-129	37	68	18	35
11,6382	45,5549	-34	-10	11	10	9	14	-84	-76	33	39	21	23	-64	-118	36	66	18	36
11,7400	45,5533	-30	-12	11	11	11	12	-85	-74	33	38	19	26	-64	-112	36	65	17	32
11,8418	45,5516	-22	-12	11	11	12	11	-81	-74	33	38	19	21	-59	-108	36	66	18	33
11,9436	45,5498	-20	-13	11	11	9	11	-77	-71	33	38	19	20	-55	-102	36	66	17	31
12,0453	45,5479	-11	-7	11	10	11	14	-70	-62	31	37	19	23	-49	-92	35	66	19	30
12,1471	45,5459	-7	-11	10	9	14	14	-68	-61	30	35	18	28	-52	-90	35	65	22	32
12,2488	45,5438	-9	-9	10	9	10	11	-66	-61	29	34	16	26	-51	-89	35	65	22	38
12,3505	45,5416	-15	-11	10	8	3	9	-60	-59	26	31	11	23	-51	-84	33	63	10	31
12,4523	45,5393	-21	-15	9	8	2	12	-62	-60	26	31	12	15	-53	-86	33	63	9	27
12,5540	45,5369	-11	-10	8	7	1	11	-53	-50	25	30	9	15	-43	-78	32	63	19	31
12,6557	45,5344	-6	-7	8	7	3	7	-48	-46	24	30	10	19	-37	-73	32	63	20	31
7,0537	45,5983	0	-5	0	0	-4	2	-19	-73	0	0	7	3	-56	-141	0	1	7	11
7,1555	45,6011	2	-13	0	0	-6	3	-27	-85	0	0	6	2	-65	-146	0	1	8	13
7,2574	45,6037	-7	-9	0	0	-5	6	-48	-94	0	0	8	7	-68	-146	0	1	12	17
7,3592	45,6063	-29	-5	0	0	-4	6	-60	-97	0	0	6	9	-73	-158	0	0	12	18
7,4610	45,6088	-38	-10	0	0	-4	7	-60	-91	0	0	9	12	-79	-163	0	1	17	21
7,5629	45,6111	-38	-10	0	0	-2	7	-93	-110	0	0	8	12	-107	-203	0	3	23	21
7,6648	45,6134	-43	-15	0	0	-1	7	-104	-133	0	1	10	14	-127	-212	0	8	23	26
7,7666	45,6156	-73	-31	0	0	-3	12	-126	-157	0	1	15	15	-146	-229	1	10	24	28
7,8685	45,6177	-103	-29	0	0	-5	13	-152	-167	0	1	10	13	-168	-265	1	11	25	26
7,9704	45,6197	-93	-32	0	0	-6	9	-177	-192	0	1	10	8	-182	-307	1	14	26	33
8,0723	45,6216	-74	4	0	0	-1	14	-173	-203	2	5	15	14	-186	-308	4	27	24	34
8,1742	45,6234	-49	14	3	3	2	9	-130	-165	13	22	12	7	-153	-259	19	51	19	29
8,2761	45,6251	-48	6	9	6	1	5	-114	-124	25	35	8	8	-111	-197	31	66	12	25
8,3780	45,6267	-53	1	9	6	-5	5	-110	-108	27	37	0	7	-95	-172	33	68	7	20
8,4800	45,6282	-52	-11	10	6	-2	6	-110	-110	28	37	2	9	-90	-172	32	67	8	19
8,5819	45,6296	-53	-18	10	8	-3	7	-103	-98	30	38	4	9	-85	-172	34	67	8	16
8,6838	45,6309	-53	-16	11	10	-7	3	-100	-96	31	39	3	5	-76	-162	36	68	4	17
8,7858	45,6321	-39	-5	12	10	2	10	-91	-89	32	39	8	12	-63	-147	36	69	10	23
8,8877	45,6332	-29	-8	11	9	3	11	-89	-88	31	39	8	15	-60	-140	35	68	10	23
8,9897	45,6342	-29	-18	11	9	3	6	-98	-91	32	39	2	10	-65	-150	36	69	8	23
9,0916	45,6351	-38	-26	11	10	-1	2	-104	-103	33	40	0	7	-77	-160	36	69	4	20
9,1936	45,6360	-35	-24	11	9	-1	5	-102	-109	32	39	3	8	-76	-160	35	69	8	18
9,2955	45,6367	-39	-37	11	9	4	3	-109	-120	33	39	6	8	-84	-170	35	69	11	23
9,3975	45,6373	-42	-23	10	9	5	1	-103	-113	33	39	4	6	-78	-169	35	69	8	24
9,4994	45,6378	-41	-36	10	9	4	2	-117	-115	32	39	2	5	-82	-173	35	68	7	20
9,6014	45,6383	-47	-32	10	9	4	4	-122	-114	32	39	6	9	-85	-180	34	68	11	24
9,7034	45,6386	-27	-24	10	9	1	4	-105	-95	31	38	5	7	-78	-162	34	67	6	19
9,8053	45,6388	-23	-21	9	7	1	7	-107	-103	30	37	9	12	-72	-161	33	67	9	24
9,9073	45,6390	-38	-22	7	6	4	9	-112	-102	25	33	14	15	-72	-157	30	64	13	30
10,0093	45,6390	-45	-32	6	5	1	7	-121	-106	21	29	8	11	-79	-173	27	60	12	27
10,1112	45,6389	-55	-34	4	4	2	7	-135	-111	16	23	5	10	-85	-185	23	53	11	27
