lon	lat	2011-2040_PRCPTOT JJA (mm)_RCP45	2011-2040_PRCPTOT JJA (mm)_RCP85	2011-2040_TX30 (days)_RCP45	2011-2040_TX30 (days)_RCP85	2011-2040_PR95PERC (%)_RCP45	2011-2040_PR95PERC (%)_RCP85	2041-2070_PRCPTOT JJA (mm)_RCP45	2041-2070_PRCPTOT JJA (mm)_RCP85	2041-2070_TX30 (days)_RCP45	2041-2070_TX30 (days)_RCP85	2041-2070_PR95PERC (%)_RCP45	2041-2070_PR95PERC (%)_RCP85	2071-2100_PRCPTOT JJA (mm)_RCP45	2071-2100_PRCPTOT JJA (mm)_RCP85	2071-2100_TX30 (days)_RCP45	2071-2100_TX30 (days)_RCP85	2071-2100_PR95PERC (%)_RCP45	2071-2100_PR95PERC (%)_RCP85
12,5601	35,5207	-4	1	0	0	11	-1	-3	-4	0	0	25	9	1	-5	0	2	14	20
12,0060	36,7509	-7	-3	11	13	17	5	-10	-10	26	34	25	3	-8	-11	32	63	20	37
12,0085	36,8223	-7	-4	1	1	16	2	-9	-9	2	6	13	-1	-7	-11	5	23	9	22
14,7002	36,7230	0	-1	11	12	9	14	-6	-5	29	39	11	5	-4	-8	38	72	19	55
14,7869	36,7184	-1	0	13	15	2	16	-4	-3	32	43	7	5	-3	-7	40	72	16	37
14,9602	36,7091	0	0	13	17	19	14	-4	-3	34	45	6	15	-2	-6	41	71	20	32
15,0468	36,7044	0	1	14	18	27	16	-4	-3	33	45	19	23	-2	-5	41	70	27	29
14,5323	36,8031	-4	-1	12	15	9	20	-8	-6	30	41	3	14	-6	-9	39	74	19	37
14,6191	36,7988	0	-1	12	14	6	17	-8	-7	30	40	3	15	-6	-10	38	72	15	35
14,7059	36,7943	-2	2	12	14	4	12	-7	-7	31	41	12	13	-5	-10	38	68	18	59
14,7927	36,7898	-2	0	12	14	5	12	-6	-6	31	41	13	-2	-4	-10	38	66	26	63
14,8795	36,7852	-1	0	13	15	11	7	-6	-4	31	42	10	3	-4	-9	39	63	28	44
14,9662	36,7805	0	-1	13	15	6	6	-6	-5	31	41	8	7	-3	-8	38	61	24	38
15,0530	36,7757	0	-1	13	16	25	17	-6	-5	30	41	9	12	-4	-8	37	61	28	34
14,4510	36,8788	-1	0	13	15	15	22	-6	-4	32	42	8	14	-2	-6	42	74	7	42
14,5379	36,8745	-1	0	14	15	4	10	-9	-7	32	43	2	8	-6	-9	40	71	12	24
14,6248	36,8701	-2	-1	12	13	8	13	-9	-8	30	40	-4	6	-6	-11	37	68	14	24
14,7117	36,8657	-4	-1	11	12	3	7	-7	-8	31	39	2	3	-7	-11	36	66	12	46
14,7986	36,8611	-4	-1	12	13	2	11	-7	-7	30	40	4	-1	-5	-11	36	64	16	58
14,8855	36,8565	-3	-1	12	14	6	10	-7	-6	30	41	10	2	-5	-11	37	62	24	59
14,9723	36,8518	-2	-2	11	14	8	6	-7	-5	30	39	0	-1	-3	-9	36	59	21	57
15,0592	36,8470	-1	-1	11	15	11	5	-6	-5	29	39	3	2	-3	-8	35	59	21	40
14,4564	36,9502	0	3	13	16	9	8	-4	-2	33	43	12	14	0	-5	42	70	9	46
14,5435	36,9459	-2	3	13	14	12	13	-7	-6	33	41	9	13	-3	-8	40	67	16	36
14,6305	36,9415	-3	5	12	12	5	9	-8	-8	30	38	0	7	-5	-11	36	66	14	33
14,7175	36,9370	-4	0	12	13	6	0	-7	-8	31	40	-6	-1	-5	-12	36	65	10	36
14,8045	36,9325	-4	1	12	13	5	-1	-6	-6	30	40	-2	-2	-5	-11	35	63	21	46
14,8915	36,9279	-4	0	12	14	3	8	-8	-6	29	38	-6	-2	-6	-12	35	60	14	45
14,9784	36,9231	-4	-1	12	13	15	12	-7	-5	30	39	4	4	-2	-10	35	60	21	57
15,0654	36,9183	-2	-2	12	14	17	4	-7	-5	29	39	5	-3	-3	-10	35	59	21	48
15,1523	36,9135	-1	-1	12	15	12	14	-7	-4	30	41	7	18	-1	-8	37	64	19	32
14,3748	37,0258	-1	3	13	16	13	18	-4	-1	34	43	12	16	-2	-5	42	69	14	56
14,4619	37,0215	-2	5	13	14	11	9	-5	-2	33	42	12	10	-3	-6	40	67	8	45
14,5490	37,0172	-2	5	12	14	5	10	-7	-5	32	41	6	1	-4	-8	39	65	4	36
14,6362	37,0128	-3	2	12	13	11	14	-8	-7	31	40	0	4	-5	-11	37	65	10	27
14,7233	37,0084	-4	1	13	12	5	4	-7	-7	32	40	-7	-5	-6	-12	36	65	8	26
14,8104	37,0038	-3	2	14	14	5	4	-7	-5	32	41	-3	-1	-5	-11	37	65	14	41
14,8975	36,9992	-3	4	12	13	2	15	-6	-4	29	38	3	-2	-3	-10	35	62	14	51
14,9845	36,9945	-4	0	11	12	-1	12	-7	-5	29	38	-1	-5	-1	-12	34	59	18	44
15,0716	36,9897	-4	-2	10	13	19	15	-9	-5	29	38	8	4	-3	-12	33	58	10	50
15,1586	36,9848	-3	-1	12	14	10	7	-8	-4	30	41	14	8	-1	-9	36	61	15	35
15,2457	36,9798	-1	1	13	16	9	13	-5	-2	33	44	6	9	2	-6	40	68	18	19
13,9437	37,1170	-1	4	14	16	23	26	-5	-3	34	44	26	23	-2	-6	43	74	40	71
14,0310	37,1132	-1	3	13	16	23	16	-5	-2	34	44	12	17	-2	-6	42	71	28	65
14,1183	37,1093	0	3	13	17	27	20	-5	-1	33	44	18	11	-2	-5	43	70	31	77
14,2056	37,1053	-2	2	13	17	23	19	-5	0	32	43	16	12	-2	-6	42	69	28	71
14,2929	37,1013	-2	3	13	16	15	13	-6	-3	33	43	8	13	-2	-6	41	67	16	68
14,3801	37,0971	-2	4	12	14	15	15	-6	-4	31	41	15	11	-3	-6	39	64	17	52
14,4674	37,0929	-2	5	12	14	7	12	-6	-4	31	40	5	5	-4	-7	38	63	5	40
14,5546	37,0886	-2	4	12	14	18	15	-7	-5	32	42	12	8	-5	-8	38	64	12	31
14,6419	37,0842	-3	4	13	13	15	19	-7	-6	31	40	3	6	-4	-10	37	63	14	23
14,7291	37,0797	-3	3	12	12	5	1	-6	-7	32	39	-5	-9	-5	-11	36	64	-1	17
14,8163	37,0752	-5	3	14	14	1	7	-6	-6	31	40	-3	-13	-5	-11	36	64	-1	29
14,9035	37,0705	-4	4	13	13	-2	12	-5	-3	30	39	-3	0	-3	-11	35	61	-2	34
14,9907	37,0658	-5	1	11	12	5	8	-7	-4	28	37	3	0	0	-12	33	57	0	42
15,0778	37,0610	-4	-1	9	12	3	19	-9	-3	27	36	8	7	-3	-11	32	56	-3	36
15,1650	37,0561	-3	-1	11	13	20	17	-8	-2	28	38	15	12	0	-9	33	58	12	33
15,2521	37,0511	-1	0	12	14	13	19	-5	0	29	41	13	18	2	-6	35	63	17	31
13,6863	37,1993	-3	1	11	13	4	5	-8	-7	31	40	2	1	-5	-8	38	72	10	37
13,7737	37,1958	-4	0	13	14	5	3	-9	-7	32	42	-2	7	-6	-9	40	71	11	41
13,8611	37,1921	-4	2	12	15	11	9	-8	-6	32	43	7	16	-5	-9	40	67	18	40
13,9486	37,1884	-3	2	12	15	19	15	-7	-5	31	42	12	17	-4	-8	40	65	35	63
14,0360	37,1846	-2	2	11	15	25	18	-6	-4	30	41	18	15	-3	-8	39	63	30	61
14,1234	37,1807	-3	1	12	16	22	22	-7	-4	30	40	20	14	-4	-8	39	63	32	67
14,2108	37,1767	-2	3	12	15	21	21	-6	0	31	40	12	14	-3	-7	39	62	22	49
14,2981	37,1726	-2	5	12	15	24	19	-7	-3	31	41	10	13	-3	-8	38	62	12	54
14,3855	37,1685	-2	4	12	14	17	16	-7	-4	30	40	5	13	-4	-8	37	62	13	49
14,4729	37,1643	-1	3	12	14	13	9	-8	-5	30	40	7	0	-4	-8	37	61	7	42
14,5602	37,1600	-3	2	12	13	12	10	-8	-6	31	40	8	-1	-5	-10	37	62	6	31
14,6476	37,1556	-6	1	13	13	12	11	-10	-8	31	40	11	-2	-6	-14	37	62	2	31
14,7349	37,1511	-2	4	13	13	1	4	-6	-4	31	40	-2	-17	-2	-10	36	62	-8	15
14,8222	37,1465	-2	4	12	13	-6	5	-6	-3	30	39	-7	-6	-1	-10	35	60	-8	10
14,9095	37,1419	-4	2	12	12	-3	10	-7	-4	29	37	-5	-2	-1	-12	33	58	-6	18
14,9968	37,1371	-5	0	11	11	4	15	-9	-4	26	35	2	9	1	-13	32	55	2	41
15,0841	37,1323	-2	1	10	12	11	21	-7	-2	27	37	9	14	0	-10	32	56	5	38
15,1713	37,1274	-2	1	11	13	19	23	-6	0	28	39	21	18	2	-6	33	60	11	43
13,6032	37,2742	-5	-1	13	15	-5	0	-10	-10	32	43	2	-1	-7	-10	40	72	14	26
13,6908	37,2707	-5	0	13	15	1	2	-11	-9	32	41	2	7	-7	-10	39	68	10	31
13,7783	37,2672	-5	0	12	14	5	1	-10	-8	31	40	-5	7	-7	-11	38	66	7	30
13,8659	37,2635	-6	2	11	15	11	6	-10	-8	31	41	-4	8	-8	-12	38	64	12	36
13,9534	37,2598	-6	-1	11	14	21	12	-9	-8	29	39	3	16	-7	-11	37	61	20	44
14,0409	37,2560	-5	1	11	14	25	17	-8	-7	29	37	8	14	-6	-10	37	58	23	45
14,1284	37,2521	-4	1	11	14	20	14	-7	-6	28	37	7	16	-4	-9	36	58	16	37
14,2159	37,2481	-4	2	10	14	20	17	-8	-4	29	37	9	12	-5	-10	36	59	12	36
14,3034	37,2440	-2	4	11	14	25	20	-7	-4	30	38	14	10	-4	-9	38	61	17	44
14,3909	37,2399	-2	2	12	14	21	24	-7	-3	31	39	13	6	-3	-9	37	61	18	56
14,4784	37,2356	-2	1	12	13	22	18	-7	-4	30	39	9	3	-4	-8	36	59	16	36
14,5658	37,2313	-3	1	11	13	24	20	-7	-5	30	40	13	3	-4	-10	36	59	6	34
14,6533	37,2269	-2	3	11	14	18	20	-7	-4	29	38	8	-2	-4	-10	35	58	5	25
14,7407	37,2224	-1	3	12	13	11	9	-6	-2	28	36	1	-7	-2	-10	34	55	-3	14
14,8281	37,2179	-1	2	12	12	6	6	-6	-1	29	35	4	1	-1	-10	34	56	5	18
14,9155	37,2132	-2	3	11	12	5	9	-6	-1	27	36	-1	0	0	-10	33	54	8	18
15,0029	37,2085	-2	2	12	12	-1	8	-7	-2	28	37	-4	4	2	-10	32	53	7	20
15,0903	37,2037	-2	2	13	14	10	18	-5	-2	28	38	4	6	2	-9	33	56	9	29
15,1777	37,1988	-2	1	13	14	15	14	-4	0	28	41	19	10	2	-7	36	62	8	49
13,4323	37,3524	-7	0	13	15	-4	3	-11	-10	32	43	1	2	-5	-11	41	70	17	18
13,5200	37,3490	-7	0	13	15	-3	3	-12	-10	32	42	0	0	-6	-12	40	67	14	19
13,6077	37,3456	-6	-1	12	14	0	6	-12	-11	32	41	4	4	-8	-12	39	67	19	24
13,6953	37,3422	-6	-1	12	14	5	6	-12	-11	31	40	-2	8	-8	-13	37	65	8	31
13,7830	37,3386	-7	-1	11	14	10	4	-12	-11	30	39	-1	9	-8	-13	37	64	6	27
13,8706	37,3349	-7	1	11	14	15	7	-11	-10	29	38	-6	10	-7	-13	36	62	14	31
13,9583	37,3312	-6	-1	10	13	21	13	-10	-9	28	37	3	8	-6	-12	36	59	24	37
14,0459	37,3274	-4	3	11	13	27	19	-8	-7	29	36	8	14	-4	-10	36	57	28	40
14,1335	37,3235	-4	2	10	13	20	13	-8	-7	28	36	8	19	-4	-10	35	57	14	35
14,2211	37,3195	-4	2	10	13	11	14	-9	-7	29	37	9	12	-5	-11	36	59	7	27
14,3087	37,3154	-3	2	12	13	14	13	-8	-5	29	37	9	3	-5	-11	36	61	15	43
14,3963	37,3112	-3	2	11	13	25	20	-7	-3	30	38	14	4	-4	-10	36	61	22	42
14,4839	37,3070	-3	0	12	13	23	26	-8	-3	28	37	15	6	-3	-10	34	57	22	42
14,5714	37,3027	-2	1	12	12	17	19	-7	-2	27	35	6	5	-3	-9	33	54	9	27
14,6590	37,2983	-1	2	11	11	23	34	-7	-3	25	34	16	8	-2	-9	31	51	9	37
14,7465	37,2938	-1	3	12	12	15	27	-6	-2	26	35	11	7	-1	-9	31	51	8	31
14,8341	37,2892	0	2	11	12	10	21	-6	-1	25	35	12	8	1	-9	30	50	12	23
14,9216	37,2845	1	1	12	13	12	17	-6	-1	26	36	7	5	1	-9	32	51	8	33
15,0091	37,2798	0	1	13	14	8	18	-6	-1	28	36	12	8	1	-8	32	53	4	30
15,0966	37,2750	0	2	13	14	10	12	-5	0	28	40	15	4	3	-7	35	59	10	43
15,1840	37,2701	0	3	2	5	6	17	-4	2	8	15	16	10	3	-5	12	40	3	50
13,2609	37,4302	-7	0	13	14	9	14	-11	-10	31	42	10	23	-6	-11	39	70	33	31
13,3487	37,4270	-7	1	13	15	2	8	-12	-9	33	42	8	12	-4	-11	41	67	23	32
13,4365	37,4238	-7	0	12	14	-1	9	-12	-10	31	41	3	10	-5	-12	38	66	21	28
13,5243	37,4205	-6	0	12	14	1	8	-12	-10	30	40	5	8	-6	-12	38	63	24	24
13,6121	37,4171	-6	-2	12	14	6	7	-13	-11	30	39	3	3	-8	-14	38	63	20	26
13,6999	37,4136	-5	-2	11	13	7	-2	-11	-11	29	38	1	4	-8	-13	37	62	12	28
13,7877	37,4100	-5	0	11	13	8	3	-10	-9	29	37	0	4	-6	-12	36	61	5	25
13,8754	37,4063	-4	1	11	13	12	4	-9	-8	28	36	-1	11	-5	-10	35	60	10	29
13,9632	37,4026	-5	2	10	12	14	8	-9	-9	28	35	2	7	-5	-11	34	57	21	28
14,0509	37,3988	-4	4	11	12	13	13	-8	-7	28	34	3	4	-4	-10	34	55	18	24
14,1386	37,3948	-3	4	11	12	12	4	-8	-7	28	35	-2	6	-3	-10	34	55	7	21
14,2263	37,3908	-3	3	11	11	12	5	-8	-7	28	36	9	4	-4	-10	34	58	11	18
14,3140	37,3868	-3	2	12	13	15	8	-7	-5	30	37	9	-3	-4	-11	35	61	7	28
14,4017	37,3826	-4	3	12	13	16	19	-7	-3	30	38	10	0	-3	-11	36	61	13	40
14,4894	37,3784	-4	2	12	12	24	28	-8	0	28	35	8	13	-2	-10	33	54	22	41
14,5771	37,3740	-2	3	11	11	33	36	-7	3	24	33	13	29	0	-8	30	49	21	51
14,6647	37,3696	-2	2	10	11	28	33	-7	2	23	32	17	14	0	-8	29	48	21	64
14,7524	37,3651	-1	1	10	11	20	23	-6	0	23	32	18	21	1	-7	28	48	12	50
14,8400	37,3605	-1	1	11	13	14	21	-5	-1	24	33	13	18	1	-7	30	50	12	42
14,9276	37,3559	-1	1	12	14	6	14	-6	-2	26	36	6	2	-1	-8	31	52	10	37
15,0152	37,3511	0	1	12	14	13	27	-6	-2	28	38	14	8	0	-7	33	57	12	61
13,0891	37,5077	-7	-1	12	15	4	14	-11	-9	31	40	4	25	-7	-11	39	68	35	31
13,1770	37,5047	-6	1	12	14	8	21	-10	-10	30	39	12	17	-5	-10	38	65	25	36
13,2650	37,5016	-7	1	12	14	6	18	-10	-10	30	39	7	19	-5	-11	38	64	30	37
13,3529	37,4985	-5	2	12	14	2	14	-11	-9	31	40	5	13	-3	-11	38	63	24	36
13,4408	37,4952	-6	0	13	14	3	6	-12	-11	31	39	-3	13	-5	-12	38	65	21	37
13,5287	37,4919	-6	0	13	14	7	6	-12	-11	31	40	3	10	-6	-13	38	65	23	37
13,6166	37,4885	-6	-3	12	13	11	10	-13	-13	30	38	5	7	-8	-15	37	62	20	38
13,7045	37,4850	-5	-1	11	13	10	1	-11	-11	29	37	-1	4	-7	-13	36	60	13	39
13,7923	37,4814	-4	1	11	13	4	0	-11	-10	29	36	-6	-2	-6	-12	35	58	3	25
13,8802	37,4777	-4	1	11	12	9	3	-9	-9	28	35	0	9	-4	-10	34	57	12	27
13,9680	37,4740	-4	2	10	12	14	8	-9	-8	27	35	4	7	-4	-9	34	56	16	34
14,0559	37,4701	-3	4	11	12	11	6	-9	-8	27	34	0	5	-3	-9	34	54	13	29
14,1437	37,4662	-3	3	11	12	15	1	-9	-7	27	34	-2	2	-4	-10	33	54	11	22
14,2315	37,4622	-3	2	10	11	16	5	-9	-7	28	35	8	2	-4	-11	34	57	10	22
14,3193	37,4581	-3	1	12	12	11	7	-8	-5	29	36	6	0	-4	-11	35	58	5	30
14,4071	37,4540	-3	2	11	12	18	16	-7	-3	28	36	5	7	-1	-9	34	57	17	39
14,4949	37,4497	-3	2	10	11	15	20	-8	-2	26	33	5	7	-2	-10	31	51	24	50
14,5827	37,4454	-1	2	11	11	20	36	-7	0	24	33	11	15	-1	-8	29	50	31	65
14,6705	37,4410	-3	-1	10	10	26	28	-8	-2	23	32	21	18	-3	-9	28	48	36	74
14,7582	37,4365	-2	-1	10	11	20	31	-7	-2	23	31	15	19	-2	-9	29	48	30	60
14,8460	37,4319	-2	0	11	12	19	29	-7	-2	23	33	12	15	-1	-8	29	49	18	48
14,9337	37,4272	-1	0	12	14	12	14	-7	-2	28	37	12	13	-2	-8	33	54	19	54
15,0214	37,4225	0	2	11	14	25	21	-5	-1	28	38	18	16	0	-6	34	58	29	76
12,6526	37,5928	-5	-3	12	15	6	9	-9	-9	30	40	23	15	-7	-10	38	71	23	29
12,7407	37,5903	-4	-2	12	15	8	11	-9	-9	31	41	15	20	-7	-10	40	69	30	26
12,8287	37,5876	-4	-1	14	15	2	11	-10	-9	33	40	8	14	-7	-11	40	68	30	18
12,9168	37,5849	-6	-1	13	15	8	16	-11	-8	31	40	11	14	-8	-11	39	66	24	19
13,0049	37,5820	-8	-2	13	15	2	10	-12	-10	31	40	8	13	-8	-12	38	66	22	21
13,0929	37,5791	-8	-3	12	14	-1	4	-13	-11	30	39	2	15	-8	-14	37	66	27	25
13,1810	37,5761	-5	-1	12	14	1	10	-11	-11	30	38	2	17	-6	-13	37	65	29	27
13,2690	37,5730	-6	1	12	13	-3	3	-11	-11	30	38	-5	10	-5	-14	37	64	26	31
13,3570	37,5699	-5	2	12	13	-1	6	-11	-11	30	37	-2	14	-5	-14	37	64	28	33
13,4450	37,5666	-7	1	12	13	5	10	-12	-13	29	37	7	11	-6	-14	36	64	29	38
13,5330	37,5633	-7	1	12	12	8	5	-12	-13	29	37	11	8	-7	-15	36	63	21	39
13,6210	37,5599	-7	-2	11	12	16	13	-12	-13	29	36	8	8	-8	-15	36	61	22	40
13,7090	37,5564	-5	2	12	12	13	9	-12	-12	29	36	6	11	-7	-13	35	59	28	52
13,7970	37,5528	-3	3	12	12	18	11	-11	-10	28	35	1	9	-6	-12	34	57	22	45
13,8850	37,5491	-3	1	11	12	14	9	-10	-9	28	35	8	13	-5	-10	34	57	26	37
13,9729	37,5454	-1	3	10	11	18	14	-9	-8	27	34	11	17	-4	-9	33	55	18	29
14,0609	37,5415	-2	4	10	11	20	8	-9	-8	27	33	1	10	-4	-10	32	54	16	30
14,1488	37,5376	-2	2	11	11	23	4	-10	-8	27	33	3	8	-6	-11	33	54	16	29
14,2368	37,5336	-2	2	10	10	17	-3	-9	-4	27	34	0	4	-5	-11	32	54	11	24
14,3247	37,5295	-2	2	11	11	12	7	-8	-4	28	34	4	7	-3	-10	33	55	12	36
14,4126	37,5253	-2	1	11	11	10	6	-8	-3	27	33	3	7	4	-10	31	52	16	36
14,5005	37,5211	-1	2	9	10	8	14	-6	-1	24	32	2	7	-1	-8	29	50	20	42
14,5884	37,5168	-2	0	11	11	22	21	-8	-3	24	33	9	10	-2	-9	29	50	22	52
14,6762	37,5123	-3	0	12	11	33	35	-9	-4	25	34	13	15	-3	-9	29	50	26	59
14,7641	37,5078	-2	1	10	10	19	35	-7	-2	23	33	4	16	1	-8	29	49	23	49
14,8519	37,5032	-2	0	11	12	10	28	-7	-3	26	35	4	10	1	-8	31	51	24	60
14,9398	37,4986	-1	3	12	14	13	29	-8	-4	29	37	27	25	-2	-8	33	54	27	76
15,0276	37,4938	-1	4	13	15	21	32	-7	-3	29	41	26	22	-1	-7	36	61	31	80
12,5677	37,6668	-6	-5	13	15	5	6	-10	-10	31	41	24	15	-8	-12	39	71	19	28
12,6559	37,6643	-5	-3	14	16	12	8	-10	-9	33	41	28	21	-7	-11	40	68	29	27
12,7441	37,6617	-4	-2	15	15	8	13	-9	-8	32	40	21	19	-7	-11	39	66	26	29
12,8322	37,6591	-5	-2	14	15	7	16	-10	-8	32	40	13	15	-7	-11	39	66	25	28
12,9204	37,6563	-5	-2	15	16	8	16	-11	-9	32	40	14	16	-8	-12	40	66	23	24
13,0086	37,6535	-6	-2	14	15	5	4	-12	-10	32	39	5	11	-8	-13	39	66	17	19
13,0967	37,6506	-6	-2	14	14	1	4	-12	-12	30	39	0	8	-8	-13	38	65	15	20
13,1849	37,6476	-4	-1	13	14	0	0	-11	-11	29	38	-4	9	-6	-13	37	65	18	13
13,2730	37,6445	-2	-1	13	13	1	1	-11	-12	29	37	1	5	-6	-14	35	65	21	25
13,3612	37,6413	-4	0	13	12	1	-3	-12	-13	29	37	2	3	-8	-15	34	65	25	21
13,4493	37,6381	-5	-1	12	12	3	2	-12	-15	28	36	6	6	-8	-16	34	63	29	35
13,5374	37,6347	-6	-1	13	12	3	-2	-11	-14	28	36	11	8	-8	-15	34	62	19	30
13,6255	37,6313	-6	1	13	12	7	-1	-13	-13	28	35	10	9	-8	-14	34	60	18	37
13,7136	37,6278	-3	0	12	11	18	6	-12	-12	27	33	6	12	-7	-12	33	57	22	38
13,8017	37,6242	-3	-1	12	11	17	12	-11	-11	26	33	8	13	-6	-11	33	56	22	39
13,8898	37,6205	-2	-1	11	11	25	12	-10	-10	27	33	12	17	-5	-11	34	56	25	31
13,9778	37,6168	-1	2	11	11	21	9	-10	-9	28	33	6	12	-4	-11	33	55	23	22
14,0659	37,6129	-1	4	11	11	23	11	-10	-9	28	33	8	12	-5	-11	33	55	19	22
14,1539	37,6090	-2	11	11	10	20	7	-10	-9	27	33	5	8	-5	-12	32	54	19	24
14,2420	37,6050	-3	2	11	11	13	7	-10	-9	26	33	3	0	-4	-12	32	54	18	23
14,3300	37,6009	-3	2	11	10	10	5	-9	-6	27	33	7	-1	-3	-11	31	53	8	35
14,4180	37,5967	-2	3	10	10	13	11	-8	-4	26	33	12	15	-2	-11	31	52	21	41
14,5060	37,5925	-2	2	9	10	13	10	-8	-4	25	33	5	4	-1	-10	29	50	8	35
14,5940	37,5881	-2	1	11	10	14	12	-8	-5	24	33	2	5	-2	-10	29	49	9	43
14,6820	37,5837	-1	0	10	10	18	22	-9	-5	24	32	-1	10	-1	-9	29	49	22	57
14,7700	37,5792	-1	1	11	11	7	19	-9	-5	25	34	-3	10	-2	-9	30	51	13	35
14,8579	37,5746	-2	2	10	12	6	19	-10	-6	28	37	8	10	-2	-11	33	56	12	40
14,9459	37,5699	-3	1	11	12	0	18	-12	-8	27	38	13	9	-4	-13	32	60	9	68
15,0338	37,5651	-2	1	12	12	-4	14	-11	-7	27	38	16	1	-1	-11	31	61	14	54
15,1217	37,5603	0	1	11	13	18	22	-8	-4	27	39	26	16	0	-8	33	65	31	61
12,4825	37,7407	-6	-6	14	15	9	1	-10	-10	32	41	24	3	-9	-13	39	71	18	20
12,5708	37,7383	-4	-3	14	15	11	8	-8	-9	32	41	30	14	-7	-11	39	69	25	32
12,6591	37,7358	-4	-2	14	15	5	3	-8	-8	31	40	15	12	-7	-11	39	67	26	29
12,7474	37,7332	-4	-2	14	14	6	2	-9	-8	32	39	14	14	-6	-11	39	65	23	26
12,8357	37,7305	-5	-2	14	14	3	9	-10	-9	31	39	9	17	-7	-12	39	65	20	34
12,9240	37,7277	-5	-3	16	16	5	4	-11	-10	32	40	14	19	-7	-13	39	66	17	29
13,0123	37,7249	-4	-1	14	14	11	7	-9	-9	31	38	10	15	-7	-11	38	63	22	30
13,1006	37,7220	-4	-2	13	14	1	0	-11	-11	30	37	0	5	-7	-12	37	62	10	16
13,1888	37,7190	-3	-2	13	14	3	-2	-10	-11	29	38	0	9	-6	-13	37	63	14	13
13,2771	37,7159	-2	-2	13	12	2	1	-10	-11	28	36	4	6	-6	-13	35	64	21	19
13,3653	37,7127	-1	-1	12	11	3	2	-9	-11	27	36	7	6	-6	-13	33	62	28	21
13,4535	37,7095	-2	-2	13	11	8	3	-10	-13	26	36	13	7	-8	-14	33	62	28	25
13,5418	37,7061	-4	-4	13	11	4	0	-11	-14	27	36	11	6	-9	-14	33	60	27	25
13,6300	37,7027	-4	-2	12	11	5	-1	-12	-12	27	34	10	11	-8	-13	33	59	18	28
13,7182	37,6992	-1	-6	11	10	16	3	-12	-13	26	33	5	10	-8	-12	32	57	15	36
13,8064	37,6956	-2	-5	10	10	21	7	-11	-13	25	32	8	16	-8	-12	31	57	18	38
13,8946	37,6919	-3	-3	11	11	18	6	-12	-13	26	34	6	7	-7	-14	33	58	18	24
13,9828	37,6882	-3	-1	11	11	18	12	-12	-12	27	35	5	10	-6	-15	33	58	15	26
14,0709	37,6843	-3	1	11	11	17	11	-12	-11	27	35	3	9	-7	-15	33	58	18	28
14,1591	37,6804	-4	1	12	10	21	11	-13	-12	27	34	9	16	-7	-15	32	58	20	31
14,2472	37,6764	-4	4	11	10	20	11	-11	-10	26	34	8	6	-6	-14	32	57	20	25
14,3354	37,6723	-3	4	12	11	11	7	-11	-8	27	34	2	8	-5	-14	32	57	15	35
14,4235	37,6681	-2	4	12	11	15	7	-10	-7	27	34	6	11	1	-14	32	55	15	48
14,5116	37,6638	-3	2	10	10	17	18	-10	-8	26	33	8	7	-4	-15	31	53	15	39
14,5997	37,6595	-2	4	9	10	17	21	-10	-6	25	33	15	10	-4	-13	31	51	13	43
14,6878	37,6550	-1	1	10	11	26	23	-10	-6	24	32	4	20	-4	-11	30	50	20	56
14,7759	37,6505	-7	-5	10	11	15	14	-17	-13	27	35	-2	8	-9	-19	32	54	13	27
14,8639	37,6459	-5	2	11	12	7	15	-13	-12	27	37	3	-7	-6	-18	31	63	10	33
14,9520	37,6412	-9	0	7	7	9	19	-18	-17	18	27	10	6	-11	-24	23	54	18	53
15,0400	37,6365	-12	-2	8	8	12	36	-18	-17	18	26	28	17	-10	-25	22	53	47	88
15,1280	37,6316	-5	-1	10	10	14	27	-13	-8	23	33	33	19	-1	-15	28	60	38	73
12,4856	37,8121	-6	-5	14	14	0	0	-10	-9	31	40	16	3	-8	-13	38	70	16	15
12,5740	37,8097	-4	-2	14	15	19	12	-9	-9	32	41	19	18	-7	-11	38	67	25	29
12,6624	37,8072	-5	-1	14	15	8	8	-9	-8	32	39	16	13	-6	-12	38	66	25	25
12,7508	37,8046	-4	-1	14	15	5	5	-9	-8	31	39	10	13	-6	-12	38	65	20	27
12,8392	37,8019	-3	-2	15	14	5	4	-8	-9	30	38	11	15	-5	-12	38	65	16	31
12,9276	37,7992	-4	-2	15	15	13	7	-8	-9	31	39	18	26	-6	-11	38	64	16	37
13,0160	37,7964	-2	-2	13	14	17	8	-8	-9	31	36	21	21	-5	-10	36	61	18	38
13,1044	37,7934	-1	0	12	13	7	7	-7	-9	30	35	6	8	-5	-9	35	58	15	17
13,1928	37,7904	-2	0	12	12	2	1	-8	-9	29	35	1	10	-5	-11	35	58	9	13
13,2811	37,7873	-2	0	13	12	3	-1	-7	-9	28	36	3	5	-5	-10	35	62	11	12
13,3695	37,7842	-1	-1	12	12	5	-1	-8	-10	27	36	10	1	-5	-11	33	62	24	18
13,4578	37,7809	-2	-2	13	11	11	5	-9	-11	26	35	17	3	-7	-12	32	61	27	24
13,5462	37,7775	-3	1	12	11	6	2	-10	-12	27	34	14	9	-6	-12	32	59	21	20
13,6345	37,7741	-1	-3	12	10	5	3	-11	-12	26	33	11	8	-6	-10	31	58	15	31
13,7228	37,7706	-1	-4	11	9	3	0	-12	-13	25	32	2	6	-8	-11	30	57	2	23
