lon	lat	2040_RCP45	2040_RCP85	2070_RCP45	2070_RCP85	2100_RCP45	2100_RCP85
14,68900013	42,0969696	7,366666667	8	21,46666667	29,5	27,4	55,83333333
11,73210144	42,2635231	10,46666667	11,93333333	32,1	40,13333333	39,1	71,16666667
11,82781029	42,26182175	12,06666667	11,5	33,1	40,06666667	38,13333333	68,93333333
11,92351341	42,26002884	12,2	11,13333333	32,3	39,86666667	37,16666667	67,6
12,01921082	42,25814438	9,633333333	8,066666667	29,4	36,6	34,13333333	65,96666667
12,1149025	42,25616837	7,633333333	7	26,5	33,76666667	32,93333333	66,4
12,21058655	42,2541008	8,5	7,466666667	27,43333333	34,1	32,9	65,9
12,30626392	42,25194168	10,8	8,933333333	30,36666667	37,23333333	34,23333333	64,83333333
12,40193462	42,24969482	13,23333333	12,03333333	33,5	40,8	37,76666667	65,23333333
12,49759674	42,2473526	14,03333333	12,56666667	34,2	40,56666667	38,06666667	64,23333333
12,59325218	42,24491882	13,6	12,63333333	34,73333333	41,76666667	38,9	65,53333333
12,68889904	42,24239731	12,33333333	10,63333333	34,33333333	41,43333333	38,3	68,53333333
12,78453732	42,23978043	8,766666667	8,366666667	29,1	37,43333333	34,73333333	67,83333333
12,88016796	42,23707581	6,5	6,133333333	25,16666667	31,46666667	30,6	65,1
12,97578907	42,23427582	6,033333333	5,633333333	21,76666667	28,3	27,63333333	62,43333333
13,07140064	42,23138809	5,733333333	4,7	19,06666667	25,76666667	26,06666667	60,36666667
13,16700268	42,22840881	3,7	2,633333333	14,36666667	20,26666667	21,46666667	52,9
13,26259518	42,22533417	1,766666667	0,833333333	7,833333333	13,7	13,53333333	43,7
13,35817719	42,22217178	0,633333333	0,2	5,1	8,7	8,466666667	34,26666667
13,4537487	42,21891785	1	0,3	5,733333333	9,166666667	8,866666667	34,23333333
13,54930973	42,21557236	2,066666667	0,7	9,2	15,56666667	13,86666667	42,63333333
13,64485931	42,21213531	5,4	5,066666667	16,66666667	24,63333333	22,1	51,36666667
13,74039841	42,20861053	8,733333333	8,3	22,06666667	29,36666667	27,6	55,06666667
13,8359251	42,20499039	9,433333333	8,8	23,1	29,76666667	28,03333333	55,1
13,93144035	42,2012825	7,966666667	7,333333333	21,1	27,9	26,03333333	52,83333333
14,02694321	42,19747925	6,533333333	5,8	18,43333333	24,93333333	23	49,73333333
14,12243366	42,19358826	5,366666667	4,1	16,43333333	22,83333333	20,76666667	47,93333333
14,21791077	42,18960571	6,566666667	7,5	19,83333333	28,33333333	25,5	52,46666667
14,31337547	42,18553162	10	10,7	24,23333333	31,63333333	29,66666667	56,6
14,40882683	42,18136597	11,43333333	11,63333333	26,3	33,5	31,6	58,86666667
14,50426483	42,17710876	10,63333333	11,96666667	24,33333333	33,43333333	31,43333333	58,13333333
14,59968758	42,17276382	7,666666667	9,466666667	22,03333333	30,26666667	29,06666667	57,16666667
14,69509697	42,16832733	0,2	0,466666667	2,833333333	5,2	5,566666667	22,53333333
10,29637241	42,3495636	0,066666667	0,033333333	0,033333333	0,2	0,1	6,2
11,63852215	42,33661652	9,3	10,7	31,13333333	38,83333333	37,63333333	70,8
11,73436165	42,3350029	11,33333333	10,93333333	32,5	39,46666667	37,83333333	68,8
11,83019543	42,33329773	11,73333333	10,2	32,93333333	40	36,6	65,66666667
11,92602348	42,33150482	11,63333333	11,13333333	32,53333333	39,56666667	36,6	65,13333333
12,02184582	42,32961655	10,9	8,633333333	30,4	37,4	34,76666667	65,2
12,11766148	42,32764053	8,166666667	7,033333333	27,1	34,03333333	32,76666667	65,43333333
12,21347046	42,32556915	9,033333333	7,933333333	28,56666667	34,9	33,63333333	64,6
12,30927277	42,32341003	12,2	10,1	31,36666667	38,83333333	35,46666667	64,56666667
12,40506744	42,32115555	14,03333333	12,83333333	33,1	40,13333333	37,96666667	63,16666667
12,50085449	42,31881332	13,73333333	12,53333333	34,06666667	40,23333333	38,36666667	63,8
12,59663391	42,31637573	12,96666667	10,1	33,43333333	41,06666667	37,66666667	66,8
12,6924057	42,3138504	8,766666667	8,166666667	29,46666667	36,7	34,9	66,16666667
12,78816891	42,31122971	8,1	7,466666667	28,56666667	36	34	66,53333333
12,88392353	42,30852127	7,566666667	7,466666667	27,73333333	35,33333333	33,23333333	66,6
12,97966862	42,30571747	6,5	5,766666667	22,86666667	28,9	28,4	63
13,07540417	42,30282593	3,4	2,3	12,9	19,53333333	19,76666667	51,26666667
13,17113113	42,29984283	2,366666667	1,266666667	9,266666667	15,63333333	15,6	45,96666667
13,26684761	42,29676437	2,366666667	1,233333333	9,233333333	15,13333333	15,1	44,76666667
13,3625536	42,29359818	3,133333333	1,933333333	11,93333333	18,33333333	17,96666667	49,13333333
13,45825005	42,29034042	3,1	2,5	13,23333333	20,03333333	19,63333333	50
13,55393505	42,28699112	4	2,966666667	13,8	21,6	19,46666667	49,93333333
13,64960861	42,28355026	3,166666667	2,066666667	12,63333333	19,06666667	17,1	47,1
13,74527168	42,28001785	4,6	4,233333333	13,83333333	20,4	18,86666667	47
13,84092236	42,27639389	5,8	5,366666667	17,23333333	24,73333333	22,46666667	50,53333333
13,93656158	42,27268219	9,433333333	9,633333333	23,56666667	31,4	29,33333333	55,13333333
14,03218842	42,26887512	10,13333333	10,8	25,4	32,43333333	30,66666667	57,26666667
14,12780285	42,2649765	10,23333333	11,3	25,2	32,2	30,3	57,6
14,22340393	42,26099014	9,866666667	11,03333333	24,13333333	32,16666667	28,86666667	57,33333333
14,31899261	42,25690842	9,166666667	10,26666667	22,36666667	31,33333333	28,96666667	56,06666667
14,41456699	42,25273895	7,5	8,733333333	21,03333333	30,1	27,1	57,66666667
14,51012802	42,24847794	0,6	0,766666667	2,166666667	5,366666667	4,9	22,36666667
11,16077042	42,41479111	9,3	9,633333333	27,7	36,93333333	34,93333333	68,8
11,35274029	42,41238785	8,366666667	9,8	26,9	36,03333333	35,06666667	70,03333333
11,44871902	42,41104889	8,633333333	9,6	26,86666667	35,63333333	35,26666667	69,8
11,54469299	42,40961838	9,566666667	10,2	29,93333333	38,1	36,63333333	70
11,64066315	42,40809631	10,1	10,66666667	31,36666667	38,73333333	37,36666667	68,76666667
11,73662663	42,4064827	10,23333333	9,7	31,1	38,63333333	36,9	67,53333333
11,83258533	42,40477753	10,9	10,1	31,93333333	39,36666667	35,7	65,66666667
11,92853928	42,4029808	11,16666667	9,133333333	32,03333333	39,06666667	35,83333333	65,06666667
12,02448559	42,40109253	10,36666667	8,7	30,53333333	36,9	34,73333333	64,56666667
12,12042618	42,39910889	8,633333333	6,733333333	28,96666667	35,36666667	32,96666667	65,3
12,21636009	42,39703751	10,36666667	8,633333333	30,3	36,53333333	33,56666667	64,63333333
12,31228733	42,39487457	12,86666667	11,1	32,26666667	39,86666667	36,53333333	63,96666667
12,40820694	42,39262009	14,33333333	12,6	33,63333333	40,03333333	38,1	63,43333333
12,50411987	42,39027023	13,13333333	11,66666667	33,36666667	40,3	37,5	64
12,60002422	42,38783264	11,16666667	9,6	31,96666667	39	35,93333333	65,3
12,69591999	42,3853035	7,666666667	6,966666667	28,2	35,16666667	33,53333333	65,76666667
12,79180813	42,38267899	8,133333333	7,066666667	28,13333333	35,1	33,73333333	66,06666667
12,88768768	42,37996674	6,966666667	6,3	26,66666667	33	31,7	65,56666667
12,9835577	42,37715912	4,166666667	3,666666667	16,6	22,3	23,13333333	56
13,07941818	42,37426376	2,133333333	0,833333333	8,5	14,43333333	13,7	43,8
13,17526913	42,37127686	2,033333333	0,8	8,2	14,36666667	13,9	42,96666667
13,27111053	42,36819839	3,8	3,366666667	14,73333333	21,06666667	22,26666667	53,5
13,36694145	42,36502457	5,533333333	5,6	20,06666667	27,1	27,43333333	59,2
13,46276188	42,361763	4,4	4,766666667	17,43333333	24,76666667	25,33333333	56,53333333
13,55857086	42,35840988	2,7	1,533333333	10,4	16,13333333	15	44,8
13,65436935	42,35496521	1,8	0,566666667	6,866666667	12,13333333	11,06666667	36,3
13,7501564	42,35142517	3,5	3	10,86666667	15,4	13,86666667	39,26666667
13,84593201	42,34779739	4,6	4,133333333	14,53333333	21,06666667	19,36666667	46,36666667
13,94169521	42,34407806	10,16666667	11,43333333	26,46666667	33,26666667	31,6	59,73333333
14,03744602	42,34026718	11,9	12,13333333	28,86666667	35,4	33,23333333	59,93333333
14,13318443	42,33636475	12,6	13	28,8	36,43333333	32,7	60,6
14,22890949	42,33237457	10,86666667	11,96666667	24,93333333	33,53333333	30,56666667	59
14,32462215	42,32828903	6,1	7,533333333	20,36666667	27,93333333	25,56666667	55,7
14,42032051	42,32411194	0,466666667	0,866666667	3,233333333	6,3	5,733333333	24,93333333
11,25840092	42,4851265	9,1	10,7	28	37,2	35,96666667	70,96666667
11,35450935	42,48387909	9,8	11,1	31,6	38,73333333	37,6	70,43333333
11,45061302	42,48253632	9,633333333	10,56666667	31,06666667	38,06666667	36,43333333	68,63333333
11,54671288	42,4811058	9,6	10,43333333	30,6	37,86666667	36,33333333	68,53333333
11,64280796	42,47957993	9,7	9,666666667	30,43333333	37,06666667	35,53333333	66,9
11,73889732	42,47796249	9,766666667	8,833333333	30,9	37,43333333	35,56666667	66,66666667
11,83498192	42,47625732	9,966666667	8,7	30,73333333	37,53333333	35,06666667	65,8
11,93105984	42,47445679	9,6	8,233333333	29,86666667	36,56666667	33,7	64,13333333
12,02713203	42,4725647	10,16666667	8,366666667	30,06666667	36,6	33,96666667	64
12,12319851	42,47058105	10,16666667	8,466666667	30,3	36,96666667	33,9	63,06666667
12,21925735	42,46850586	12,63333333	10,13333333	31,8	39,23333333	36,43333333	64,16666667
12,31530952	42,46633911	13,5	10,5	32,03333333	39,23333333	36,66666667	63,06666667
12,41135502	42,46408081	13,76666667	11,83333333	32,83333333	38,93333333	37,4	62,23333333
12,50739193	42,46173096	12,56666667	11,1	32,63333333	39,56666667	36,4	63,96666667
12,60342121	42,45928955	11,43333333	9,866666667	31,83333333	39,1	35,7	64,43333333
12,69944286	42,45675278	9,333333333	8,166666667	29,86666667	37,03333333	34,4	65,46666667
12,79545593	42,45412827	7,133333333	6,366666667	27	33,56666667	31,76666667	64,76666667
12,89145947	42,4514122	4,633333333	4,1	17,5	23,33333333	23,9	57,4
12,98745441	42,44860458	2,233333333	0,966666667	9,133333333	15,2	14,93333333	45,23333333
13,08344078	42,4457016	1,7	0,533333333	7,5	12,83333333	13,16666667	41,9
13,17941666	42,44271088	3,2	2,266666667	12,5	19,1	18,6	50,16666667
13,27538204	42,4396286	4,333333333	4,3	16,66666667	23,73333333	24,33333333	56,26666667
13,37133789	42,43645096	4,266666667	3,8	16,53333333	23,1	23,13333333	54,66666667
13,46728325	42,43318558	2,566666667	1,5	10,3	15,76666667	15,5	44,6
